iter	RMSE
0	113059.656
1	110892.0696
2	108851.8275
3	106858.0968
4	104925.3998
5	103067.7749
6	101276.1303
7	99601.66276
8	98066.1116
9	96463.85877
10	94873.55228
11	93414.82962
12	91952.91323
13	90556.56548
14	89193.68436
15	87878.5965
16	86672.82744
17	85429.21837
18	84182.84342
19	83018.24419
20	81947.27215
21	80937.4735
22	79951.72487
23	78971.99527
24	78045.9353
25	77157.2466
26	76269.16019
27	75442.09901
28	74663.43361
29	73914.95045
30	73142.57754
31	72448.42603
32	71736.14692
33	71066.08581
34	70452.69198
35	69833.94335
36	69242.8455
37	68635.50918
38	68044.85695
39	67466.50287
40	66922.13734
41	66427.14067
42	65926.57956
43	65429.70379
44	64975.36484
45	64541.24678
46	64105.15104
47	63698.76542
48	63346.83727
49	62924.58649
50	62532.88943
51	62172.41257
52	61850.76155
53	61552.72065
54	61218.59409
55	60902.45993
56	60661.09131
57	60337.14188
58	60079.17366
59	59803.16777
60	59560.63964
61	59291.00826
62	59026.71305
63	58757.24478
64	58558.42921
65	58338.5349
66	58132.25135
67	57904.17793
68	57715.76221
69	57478.71513
70	57301.15543
71	57137.16549
72	56915.22194
73	56700.39236
74	56544.18162
75	56375.16071
76	56234.81075
77	56069.84254
78	55866.63105
79	55705.8328
80	55529.04668
81	55395.22935
82	55261.63518
83	55152.04677
84	55022.95107
85	54846.14735
86	54704.81007
87	54605.62417
88	54453.08038
89	54329.98974
90	54217.07481
91	54117.20278
92	54005.2991
93	53895.7824
94	53800.70031
95	53719.47121
96	53606.09401
97	53514.06735
98	53406.37452
99	53322.94742
100	53242.55093
101	53150.05685
102	53082.74257
103	52980.16764
104	52876.51115
105	52754.64018
106	52638.436
107	52537.33683
108	52452.47995
109	52356.0782
110	52294.69711
111	52226.99183
112	52163.54817
113	52080.69802
114	52003.21025
115	51940.25395
116	51834.14342
117	51756.09344
118	51689.29943
119	51619.3047
120	51556.41155
121	51487.28413
122	51418.7641
123	51346.67937
124	51300.42999
125	51215.24099
126	51148.57567
127	51090.60005
128	51036.59531
129	50983.12626
130	50926.45892
131	50854.58164
132	50795.39407
133	50744.42281
134	50691.70968
135	50618.14157
136	50561.46628
137	50508.55245
138	50460.28858
139	50416.36579
140	50359.56143
141	50309.13223
142	50207.02414
143	50153.31855
144	50111.75383
145	50067.00306
146	50037.30815
147	49978.56413
148	49957.16158
149	49870.64486
150	49823.9378
151	49773.98838
152	49718.32158
153	49661.89307
154	49628.37546
155	49603.72427
156	49545.0674
157	49475.35907
158	49395.3779
159	49363.23865
160	49327.3943
161	49305.75545
162	49279.0088
163	49222.19119
164	49174.18367
165	49124.79154
166	49086.63943
167	49044.95264
168	48996.02398
169	48959.26796
170	48905.73118
171	48869.86067
172	48838.08388
173	48785.36434
174	48750.19209
175	48711.15007
176	48658.9912
177	48605.67116
178	48578.63668
179	48504.43886
180	48458.09335
181	48413.95087
182	48391.32161
183	48350.82846
184	48313.38837
185	48265.06038
186	48240.6592
187	48181.2627
188	48148.35258
189	48100.37979
190	48059.87022
191	48025.0151
192	47978.47782
193	47955.1579
194	47894.19863
195	47870.05384
196	47839.81663
197	47805.69021
198	47767.43778
199	47727.01417
200	47703.86035
201	47668.32835
202	47650.02758
203	47617.16149
204	47572.4566
205	47529.59403
206	47496.48012
207	47459.89441
208	47434.72967
209	47388.65842
210	47366.96883
211	47338.97768
212	47303.74549
213	47276.00719
214	47258.75144
215	47219.57572
216	47179.75876
217	47141.15726
218	47122.20012
219	47092.82787
220	47062.64787
221	47019.04352
222	46994.9968
223	46957.3047
224	46923.23286
225	46884.57824
226	46852.2718
227	46835.79403
228	46802.8379
229	46780.27373
230	46747.46305
231	46729.58131
232	46672.99596
233	46648.19146
234	46618.53056
235	46574.40111
236	46554.53902
237	46513.07406
238	46464.88518
239	46446.15053
240	46409.45333
241	46382.03428
242	46362.69887
243	46344.18218
244	46327.88404
245	46293.62284
246	46274.72262
247	46248.4705
248	46235.65903
249	46209.7192
250	46190.81214
251	46170.69929
252	46133.37583
253	46110.40261
254	46080.08483
255	46054.69703
256	45999.64853
257	45948.95447
258	45920.68177
259	45898.296
260	45878.62675
261	45854.55419
262	45811.45247
263	45791.89533
264	45757.87068
265	45742.97148
266	45711.27388
267	45700.62148
268	45667.63335
269	45636.3654
270	45617.36761
271	45593.36514
272	45578.84934
273	45565.46983
274	45546.80473
275	45526.46676
276	45498.0527
277	45460.14671
278	45440.99368
279	45409.07393
280	45384.44549
281	45369.4742
282	45339.44158
283	45320.91261
284	45306.86667
285	45286.22668
286	45275.33351
287	45238.16718
288	45215.80429
289	45205.85778
290	45193.12432
291	45184.57516
292	45173.54266
293	45123.04838
294	45088.58603
295	45052.33289
296	45035.87571
297	45012.685
298	44999.91689
299	44973.87113
300	44963.54143
301	44937.15713
302	44903.7252
303	44887.87912
304	44878.84407
305	44855.89699
306	44828.26339
307	44808.72182
308	44795.43818
309	44784.98406
310	44762.10223
311	44742.14504
312	44715.72966
313	44662.10433
314	44641.86812
315	44622.42448
316	44573.97508
317	44557.12384
318	44533.69861
319	44513.72773
320	44474.59917
321	44465.06629
322	44450.83992
323	44425.69074
324	44397.57588
325	44374.29859
326	44357.04021
327	44324.44788
328	44313.53223
329	44284.358
330	44261.86443
331	44245.28485
332	44218.83065
333	44181.43593
334	44166.18952
335	44136.0233
336	44111.45205
337	44073.02698
338	44048.17266
339	44022.04587
340	43990.1429
341	43964.75446
342	43936.30414
343	43905.56042
344	43877.06956
345	43838.89651
346	43804.64899
347	43772.92288
348	43742.73508
349	43711.56618
350	43684.30285
351	43659.83951
352	43629.79373
353	43605.55028
354	43569.82674
355	43536.71951
356	43510.50382
357	43488.22718
358	43458.74438
359	43425.71588
360	43412.62857
361	43376.35996
362	43342.78192
363	43312.64375
364	43293.09779
365	43263.08501
366	43250.66794
367	43232.59274
368	43212.03136
369	43187.55749
370	43135.73034
371	43090.60876
372	43053.42124
373	43028.88726
374	43006.68309
375	42991.95502
376	42975.51633
377	42950.40562
378	42910.02722
379	42880.59682
380	42849.45214
381	42840.0612
382	42807.42689
383	42787.23389
384	42751.62916
385	42728.53601
386	42699.10454
387	42674.66635
388	42649.48745
389	42617.17551
390	42577.49276
391	42541.49137
392	42517.46071
393	42503.57291
394	42480.98783
395	42469.28487
396	42440.74301
397	42403.68007
398	42375.97339
399	42361.36675
400	42345.95756
401	42327.12978
402	42299.60873
403	42249.91743
404	42224.78378
405	42210.69736
406	42182.08893
407	42153.28177
408	42136.82312
409	42095.70332
410	42073.7954
411	42054.82085
412	42030.18418
413	42015.09589
414	41993.39511
415	41970.77714
416	41949.72678
417	41919.29896
418	41897.97094
419	41878.14851
420	41860.1214
421	41838.47928
422	41822.89817
423	41793.25108
424	41771.9101
425	41749.26569
426	41739.03647
427	41692.95366
428	41652.10416
429	41637.57613
430	41615.847
431	41602.97557
432	41589.78813
433	41576.11123
434	41556.37718
435	41533.59624
436	41507.93866
437	41493.60006
438	41468.26513
439	41424.53675
440	41398.08826
441	41377.6916
442	41363.52
443	41347.71025
444	41333.01723
445	41313.27902
446	41293.23792
447	41256.65339
448	41230.70599
449	41209.56217
450	41190.03786
451	41163.61527
452	41139.80602
453	41115.90908
454	41095.45668
455	41078.9409
456	41062.71985
457	41038.91305
458	41014.88422
459	40994.14213
460	40976.17389
461	40945.12323
462	40924.59128
463	40911.01899
464	40880.09153
465	40858.21325
466	40835.16583
467	40825.58774
468	40809.0955
469	40792.2498
470	40775.49845
471	40761.3943
