iter	Passed	Remaining
0	161	161346
1	294	147128
2	399	132889
3	502	125131
4	610	121505
5	736	122054
6	855	121310
7	953	118244
8	1086	119665
9	1198	118622
10	1316	118376
11	1419	116884
12	1545	117333
13	1668	117494
14	1767	116040
15	1876	115389
16	2009	116182
17	2118	115563
18	2243	115849
19	2342	114800
20	2467	115015
21	2563	113944
22	2675	113667
23	2796	113726
24	2923	114011
25	3021	113202
26	3127	112700
27	3243	112608
28	3397	113750
29	3488	112795
30	3636	113666
31	3758	113682
32	3849	112794
33	3969	112778
34	4071	112266
35	4168	111621
36	4297	111847
37	4414	111750
38	4517	111318
39	4644	111468
40	4748	111065
41	4874	111175
42	4990	111078
43	5112	111075
44	5205	110464
45	5335	110652
46	5474	111000
47	5569	110453
48	5710	110824
49	5808	110367
50	5932	110387
51	6026	109876
52	6133	109585
53	6243	109381
54	6367	109403
55	6472	109101
56	6595	109116
57	6708	108963
58	6819	108771
59	6934	108638
60	7049	108510
61	7144	108095
62	7237	107649
63	7359	107638
64	7481	107624
65	7594	107479
66	7703	107280
67	7799	106897
68	7899	106584
69	8012	106451
70	8156	106720
71	8247	106302
72	8337	105876
73	8437	105581
74	8528	105181
75	8628	104899
76	8735	104714
77	8847	104584
78	8975	104633
79	9104	104703
80	9236	104799
81	9350	104680
82	9465	104574
83	9595	104638
84	9710	104534
85	9814	104311
86	9926	104175
87	10041	104068
88	10147	103873
89	10275	103898
90	10398	103867
91	10526	103895
92	10647	103840
93	10743	103551
94	10846	103326
95	10962	103231
96	11087	103215
97	11194	103038
98	11317	103002
99	11430	102874
100	11529	102628
101	11657	102629
102	11754	102365
103	11847	102071
104	11925	101654
105	12012	101316
106	12073	100759
107	12130	100188
108	12188	99634
109	12248	99101
110	12339	98830
111	12420	98476
112	12514	98229
113	12597	97906
114	12679	97580
115	12754	97201
116	12820	96752
117	12883	96298
118	12949	95870
119	13012	95422
120	13072	94967
121	13131	94502
122	13190	94049
123	13246	93578
124	13302	93114
125	13363	92694
126	13421	92262
127	13484	91862
128	13545	91457
129	13601	91027
130	13656	90590
131	13709	90149
132	13766	89739
133	13836	89418
134	13902	89077
135	13967	88733
136	14034	88406
137	14103	88096
138	14169	87768
139	14233	87435
140	14458	88081
141	15338	92680
142	15880	95173
143	16381	97377
144	16582	97781
145	16858	98610
146	17224	99950
147	17495	100714
148	17810	101723
149	18126	102714
150	18296	102871
151	18507	103250
152	18716	103615
153	18951	104112
154	19201	104676
155	19405	104988
156	19688	105717
157	19903	106069
158	20116	106403
159	20400	107101
160	20592	107312
161	20834	107771
162	21034	108013
163	21231	108226
164	21398	108290
165	21578	108414
166	21763	108559
167	21917	108542
168	22045	108403
169	22174	108262
170	22327	108242
171	22490	108270
172	22591	107993
173	22695	107739
174	22814	107554
175	22942	107414
176	23094	107380
177	23200	107139
178	23295	106847
179	23411	106651
180	23517	106415
181	23617	106150
182	23732	105951
183	23864	105834
184	23997	105717
185	24133	105618
186	24235	105367
187	24329	105082
188	24425	104808
189	24539	104614
190	24631	104328
191	24764	104216
192	24891	104079
193	25037	104020
194	25172	103917
195	25324	103882
196	25451	103742
197	25583	103627
198	25710	103489
199	25820	103283
200	25941	103121
201	26076	103014
202	26206	102889
203	26385	102953
204	26566	103026
205	26761	103146
206	26906	103076
207	27038	102955
208	27152	102763
209	27282	102632
210	27413	102508
211	27528	102322
212	27644	102141
213	27778	102026
214	27895	101849
215	27995	101612
216	28112	101439
217	28246	101325
218	28367	101165
219	28482	100983
220	28604	100829
221	28730	100687
222	28844	100503
223	28961	100331
224	29063	100106
225	29148	99828
226	29236	99559
227	29316	99264
228	29396	98973
229	29482	98700
230	29570	98441
231	29655	98170
232	29737	97891
233	29826	97636
234	29920	97399
235	30005	97138
236	30087	96865
237	30170	96597
238	30256	96339
239	30347	96101
240	30435	95852
241	30518	95589
242	30623	95399
243	30703	95129
244	30788	94879
245	30867	94611
246	30951	94357
247	31026	94079
248	31108	93823
